,Mean,Farmer No.,Zeros,Eligibility,loan
0,9181.18653846154,1,6.65,2,55838.79532163744
1,11496.648076923077,2,1.875,2,69921.13450292397
2,8015.49230769231,3,1.925,2,48749.19298245615
3,87371.01730769232,4,0.15,1,534505.0470588235
4,1356.2076923076925,5,2.475,2,8248.280701754387
5,71216.5,6,2.65,2,433129.59064327483
6,16386.990384615383,7,2.35,2,99663.567251462
7,13798.519230769229,8,2.375,2,83920.81871345028
8,12051.413461538463,9,1.95,2,73295.14619883042
9,2959.992307692308,10,4.5,2,18002.292397660818
10,11869.359615384614,11,0.025,2,72187.91812865496
11,104656.63076923079,12,4.9,2,636508.1637426901
12,52590.8346153846,13,1.475,2,319850.69005847943
13,25369.355769230762,14,8.925,2,154293.1578947368
14,24785.05000000001,15,0.0,2,150739.48538011702
15,44000.09038461539,16,0.4,2,267602.88888888893
16,291.6423076923078,17,7.3,2,1773.7309941520475
17,19328.807692307684,18,1.45,2,117555.32163742685
18,17023.22115384615,19,0.0,2,103533.0409356725
19,66835.62884615385,20,2.475,2,406485.69590643275
20,20193.12884615385,21,0.675,2,122812.01169590646
21,74300.08461538462,22,1.375,2,451883.55555555556
22,103692.38076923077,23,0.0,1,634353.3882352943
23,230925.93653846154,24,2.875,2,1404461.83625731
24,5010.884615384617,25,3.75,2,30475.555555555566
25,6698.903846153846,26,2.3,2,40741.87134502924
26,32520.742307692308,27,7.65,2,197786.9707602339
27,4432.9807692307695,28,1.3,2,26960.81871345029
28,114496.35192307693,29,1.125,1,700448.2705882353
29,347950.85576923075,30,1.075,1,2128640.529411765
30,9788.559615384615,31,0.275,2,59532.76023391813
31,223150.5711538462,32,0.875,1,1365156.4352941178
32,9481.85576923077,33,3.15,2,57667.4269005848
33,43049.724999999984,34,0.825,2,261822.8888888888
34,22260.915384615386,35,0.95,2,135388.02339181287
35,6192.907692307691,36,0.0,2,37664.467836257296
36,8475.311538461541,38,0.2,2,51545.75438596494
37,2126.463461538461,39,1.575,2,12932.877192982454
38,7895.176923076923,40,0.8,2,48017.45029239766
39,32473.949999999993,41,2.825,2,197502.38596491225
40,23260.90576923077,42,4.2,2,141469.83625730994
41,21032.61730769232,43,0.0,2,127917.67251461995
42,12030.819230769233,44,7.775,2,73169.89473684212
43,24467.84807692308,45,0.0,2,148810.30409356728
44,1145.4884615384613,46,4.3,2,6966.713450292396
45,5322.717307692307,47,0.0,2,32372.081871345028
46,7179.011538461537,48,0.0,2,43661.824561403504
47,33183.0076923077,49,0.225,2,201814.78362573104
48,60166.8230769231,50,0.725,2,365926.8771929826
49,2378.2615384615387,51,3.225,2,14464.28070175439
50,100579.85,52,0.8,1,615312.0235294118
51,7424.871153846152,53,4.0,2,45157.1111111111
52,11691.928846153849,54,5.475,2,71108.80701754388
53,781.7673076923077,55,1.85,2,4754.608187134503
54,1682.4115384615386,56,0.0,2,10232.21052631579
55,619.175,57,10.075,2,3765.7426900584796
56,48360.686538461545,58,0.325,2,294123.47368421056
57,31714.59423076925,59,0.0,2,192884.08187134514
58,60061.05576923078,60,0.925,2,365283.61403508775
59,1898.9923076923073,61,6.025,2,11549.426900584793
60,2059.076923076923,62,0.325,2,12523.040935672514
61,107916.53846153847,63,4.275,2,656334.5029239766
62,7103.790384615383,64,1.65,2,43204.33918128654
63,34564.41346153846,65,2.25,2,210216.31578947368
64,93159.12500000003,66,0.0,1,569914.6470588237
65,31062.853846153845,67,2.4,2,188920.28070175438
66,6320.2653846153835,68,0.0,2,38439.04093567251
67,1761.686538461539,69,5.65,2,10714.350877192985
68,72710.82499999998,70,3.7,2,442217.88304093556
69,356.08653846153845,71,7.7,2,2165.6725146198833
70,26261.95,72,0.0,2,159721.80116959065
71,4332.136538461539,73,0.95,2,26347.497076023395
72,5975.455769230769,74,0.0,2,36341.95321637427
73,20135.548076923074,75,3.9,2,122461.81286549705
74,6228.282692307694,76,2.35,2,37879.61403508773
75,10412.813461538462,77,0.325,2,63329.3918128655
76,90472.3923076923,78,0.0,1,553478.1647058823
77,25609.48461538462,79,0.0,2,155753.5906432749
78,18499.932692307695,80,5.0,2,112514.21052631582
79,25172.2,81,0.525,2,153094.08187134503
80,83775.14038461537,82,0.0,1,512506.7411764705
81,5511.776923076922,83,2.65,2,33521.918128654965
82,1851.1250000000007,84,3.2,2,11258.304093567256
83,2729.732692307692,85,0.0,2,16601.883040935674
84,92883.37115384618,86,1.15,1,568227.6823529414
85,4922.865384615385,87,1.225,2,29940.233918128655
86,39290.688461538455,88,0.0,2,238960.9122807017
87,63370.39615384617,89,3.05,2,385410.5964912282
88,1713.9326923076922,90,0.6,2,10423.91812865497
89,1831.39423076923,91,0.3,2,11138.304093567247
90,2342.736538461538,92,2.125,2,14248.222222222219
91,11411.94423076923,93,0.75,2,69405.97660818712
92,1281.6269230769233,94,1.575,2,7794.690058479534
93,39713.74615384616,95,2.05,2,241533.89473684214
94,31670.34615384615,96,2.2,2,192614.9707602339
95,105020.80961538463,97,0.075,1,642480.2470588236
96,14492.821153846151,98,1.775,2,88143.4736842105
97,3343.1096153846156,99,0.4,2,20332.362573099414
98,23116.632692307692,100,0.75,2,140592.38596491228
99,80617.725,101,2.25,2,490306.63157894736
100,2812.769230769231,102,0.15,2,17106.900584795323
101,39536.132692307685,103,0.65,2,240453.67251461983
102,34700.88076923078,104,2.725,2,211046.2923976609
103,12666.417307692309,105,0.0,2,77035.52046783626
104,6274.461538461537,106,0.0,2,38160.4678362573
105,1504.0653846153848,107,1.225,2,9147.532163742691
106,46683.461538461546,108,0.05,1,285592.94117647066
107,112171.00384615385,109,0.125,1,686222.6117647059
108,24347.890384615384,110,9.55,2,148080.73684210525
109,5630.6461538461535,111,0.525,2,34244.865497076025
110,206261.3,112,0.75,1,1261833.8352941177
111,1807.7961538461536,113,6.275,2,10994.783625730994
112,21976.955769230768,114,2.55,2,133661.01754385966
113,2638.4807692307695,115,1.9,2,16046.900584795325
114,24461.95576923077,116,0.0,2,148774.46783625733
115,42805.528846153844,117,2.275,2,260337.71929824562
116,42918.94423076923,118,0.95,2,261027.4970760234
117,9033.794230769232,119,0.275,2,54942.37426900586
118,3837.521153846154,120,3.7,2,23339.309941520467
119,5459.721153846154,121,0.25,2,33205.3216374269
120,402.2461538461538,122,6.8,2,2446.4093567251457
121,46505.78461538461,123,0.0,1,284505.97647058824
122,221.51538461538468,124,7.075,2,1347.228070175439
123,14079.303846153844,125,0.25,2,85628.51461988303
124,3645.875,126,6.575,2,22173.74269005848
125,1219.269230769231,127,2.075,2,7415.43859649123
126,3301.3961538461544,128,7.725,2,20078.666666666668
127,50285.265384615384,129,2.0,2,305828.51461988303
128,7495.25,130,4.75,2,45585.14619883041
129,12410.221153846152,131,4.7,2,75477.36842105263
130,21417.57500000001,132,4.45,2,130258.93567251468
131,27301.838461538475,133,2.275,2,166046.26900584804
132,761.3480769230767,134,6.725,2,4630.421052631577
133,102970.53076923078,135,0.325,1,629937.3647058824
134,12894.713461538464,136,0.125,2,78423.98830409358
135,1531.35,137,1.575,2,9313.473684210527
136,5022.332692307691,138,4.15,2,30545.1812865497
137,5872.911538461538,139,1.85,2,35718.292397660814
138,1886.5019230769235,140,8.175,2,11473.461988304096
139,4281.342307692308,142,3.65,2,26038.57309941521
140,16997.53461538461,144,2.35,2,103376.81871345027
141,11338.667307692309,145,0.825,2,68960.3157894737
142,1619.3057692307693,146,6.125,2,9848.409356725146
143,954.348076923077,147,4.725,2,5804.222222222223
144,54702.47692307692,148,2.475,2,332693.4269005848
145,3407.961538461538,149,1.625,2,20726.78362573099
146,4436.192307692307,150,1.575,2,26980.350877192977
147,11295.113461538462,151,1.5,2,68695.42690058479
148,45798.025000000016,152,0.875,2,278537.6959064328
149,7192.086538461537,153,8.05,2,43741.34502923976
150,2403.2250000000004,154,4.275,2,14616.105263157897
151,19123.30769230768,155,6.25,2,116305.49707602333
152,41106.65576923077,156,0.975,2,250005.3918128655
153,39806.02115384616,157,0.875,2,242095.09941520472
154,83307.3173076923,158,2.375,2,506664.3859649122
155,44654.19807692306,159,0.875,2,271581.08771929814
156,15525.284615384622,160,5.4,2,94422.78362573104
157,11488.93846153846,161,0.0,2,69874.24561403507
158,13877.990384615385,162,1.025,2,84404.15204678362
159,23070.38846153846,163,0.325,2,140311.13450292396
160,43481.878846153835,164,0.0,1,266006.78823529405
161,5324.003846153846,165,1.425,2,32379.90643274854
162,3994.938461538461,166,0.525,2,24296.701754385962
163,18131.671153846153,167,1.4,2,110274.49122807017
164,20761.228846153852,168,0.0,2,126267.12280701759
165,24973.434615384616,169,0.15,2,151885.21637426902
166,39525.98269230769,170,1.425,2,240391.94152046784
167,1050.7307692307684,171,9.6,2,6390.409356725141
168,7429.124999999997,172,4.825,2,45182.98245614034
169,24354.21153846153,173,1.75,2,148119.18128654966
170,4766.398076923078,174,0.0,2,28988.619883040945
171,9578.66923076923,175,0.9,2,58256.23391812865
172,20625.686538461545,176,1.1,2,125442.77192982461
173,3031.0788461538455,177,2.55,2,18434.631578947363
174,36043.19038461539,178,0.0,2,219210.04678362573
175,6836.803846153845,179,0.65,2,41580.561403508764
176,41272.751923076925,180,0.0,1,252492.1294117647
177,26359.144230769238,181,0.0,2,160312.92397660823
178,289.4192307692308,182,9.075,2,1760.2105263157898
179,32368.44038461538,183,0.925,2,196860.6900584795
180,9054.461538461537,184,6.55,2,55068.07017543859
181,79923.68076923078,185,6.2,2,486085.5438596492
182,29819.44423076923,186,0.225,2,181358.02339181287
183,90353.58653846152,187,0.6,1,552751.3529411764
184,11184.207692307695,188,2.025,2,68020.91228070177
185,8328.369230769229,189,0.0,2,50652.07017543859
186,4717.536538461538,190,2.525,2,28691.450292397654
187,25194.940384615376,191,0.0,2,153232.38596491225
188,52860.85961538462,192,2.275,2,321492.94736842107
189,1495.8038461538458,193,0.325,2,9097.286549707602
190,111065.17307692308,194,0.0,1,679457.5294117647
191,29445.61346153846,195,1.05,2,179084.432748538
192,1720.201923076923,196,0.3,2,10462.04678362573
193,56672.219230769224,197,0.575,2,344673.1461988304
194,2692.2134615384607,198,3.825,2,16373.695906432744
195,58196.17692307691,199,0.0,1,356023.6705882352
196,12091.167307692307,200,1.525,2,73536.92397660819
197,79017.86346153844,201,0.0,1,483403.39999999985
198,55700.523076923084,202,1.8,2,338763.41520467843
199,122689.98461538463,203,1.35,1,750574.0235294119
200,14066.867307692306,204,0.0,2,85552.87719298244
201,64257.27115384615,205,2.6,2,390804.4561403509
202,14303.673076923083,206,1.5,2,86993.09941520472
203,80031.6,207,0.3,1,489605.0823529412
204,88759.10576923077,208,1.125,1,542996.8823529412
205,40933.51538461538,209,0.0,1,250416.8
206,47662.71538461538,210,0.175,2,289878.50292397663
207,1804.951923076923,211,0.9,2,10977.48538011696
208,42162.89807692308,212,2.45,2,256429.3216374269
209,6013.61923076923,213,0.625,2,36574.058479532156
210,1955.7461538461532,214,2.775,2,11894.596491228067
211,10354.049999999997,215,6.55,2,62971.99999999999
212,73572.47307692308,216,2.675,2,447458.3157894737
213,25856.571153846144,217,0.625,2,157256.3391812865
214,15512.667307692307,218,1.0,2,94346.04678362573
215,13863.523076923078,219,0.4,2,84316.16374269007
216,69802.65,220,0.65,2,424530.7368421053
217,2207.005769230769,221,0.45,2,13422.72514619883
218,1802.7557692307687,222,4.6,2,10964.128654970758
219,217184.6826923077,223,0.0,0,1344476.607142857
220,93751.13846153844,224,2.2,2,570182.3625730993
221,2799.4461538461546,225,3.775,2,17025.871345029245
222,150199.03461538462,226,0.25,0,929803.5476190476
223,80020.95192307694,227,1.65,2,486677.13450292405
224,22960.25192307692,228,0.0,2,139641.29824561402
225,9189.336538461543,229,4.35,2,55888.36257309944
226,119194.8923076923,230,0.0,1,729192.2823529411
227,52818.97115384615,231,0.625,2,321238.18713450286
228,65711.20576923079,232,1.175,2,399647.0994152048
229,17185.77884615384,233,1.2,2,104521.69590643271
230,61324.46346153845,234,0.375,2,372967.4970760233
231,94593.94423076924,235,0.25,1,578692.3647058824
232,1821.3576923076926,236,0.5,2,11077.263157894738
233,10299.694230769232,237,1.8,2,62641.415204678364
234,2950.0653846153846,238,3.25,2,17941.918128654972
235,3615.4269230769232,239,1.375,2,21988.56140350877
236,77006.48846153847,240,0.475,1,471098.5176470589
237,45193.13653846155,241,1.35,2,274858.84210526326
238,96644.42692307691,242,0.425,1,591236.494117647
239,9954.332692307691,243,0.75,2,60540.970760233904
240,111473.89038461537,244,4.125,2,677969.8596491227
241,258.48846153846154,245,8.775,2,1572.093567251462
242,4522.336538461539,246,0.0,2,27504.26900584796
243,104556.2346153846,247,3.3,2,635897.5672514619
244,24257.503846153846,248,1.425,2,147531.01754385966
245,7397.711538461539,249,1.2,2,44991.92982456141
246,215574.3673076923,250,0.0,0,1334507.988095238
247,50198.376923076925,251,0.05,1,307095.9529411765
248,30553.698076923087,252,0.95,2,185823.6608187135
249,38881.46538461539,253,1.125,2,236472.07017543865
250,13401.49615384614,254,7.55,2,81506.1754385964
251,66695.44038461539,255,0.15,1,408019.1647058824
252,12357.448076923076,256,2.45,2,75156.40935672514
253,344.9211538461538,257,4.75,2,2097.766081871345
254,8849.150000000001,258,1.275,2,53819.391812865506
255,2462.0596153846154,259,3.85,2,14973.929824561403
256,2602.8365384615386,260,9.4,2,15830.116959064328
257,21952.70384615385,261,2.375,2,133513.5204678363
258,2681.4653846153847,262,3.4,2,16308.327485380118
259,175899.12884615385,263,0.7,1,1076088.788235294
260,35775.54615384615,264,0.0,2,217582.26900584795
261,14962.213461538468,265,0.725,2,90998.25730994156
262,43741.63846153846,266,0.175,2,266031.01754385966
263,64264.91346153844,267,1.45,2,390850.9356725145
264,25124.198076923083,268,0.15,2,152802.14035087725
265,11419.64807692308,269,2.4,2,69452.83040935674
266,31287.621153846143,270,1.05,2,190287.28654970753
267,126277.95192307688,271,0.0,1,772523.9411764704
268,38469.021153846144,272,0.0,2,233963.63742690053
269,39949.20961538462,273,2.275,2,242965.9532163743
270,1449.525,274,11.25,2,8815.82456140351
271,45682.476923076916,276,2.975,2,277834.947368421
272,20217.851923076923,277,2.675,2,122962.37426900584
273,5014.998076923077,278,0.25,2,30500.573099415204
274,3699.176923076923,279,3.875,2,22497.91812865497
275,1778.6134615384613,280,0.0,2,10817.298245614034
276,36864.92115384615,282,0.6,2,224207.7076023392
277,23316.450000000004,283,1.55,2,141807.64912280705
278,52195.31346153846,284,0.675,2,317445.1812865497
279,94869.06538461537,285,0.175,1,580375.4588235293
280,20412.94423076923,286,1.075,2,124148.90058479532
281,14587.265384615384,287,0.175,2,88717.87134502924
282,10463.488461538462,288,8.125,2,63637.59064327485
283,10310.599999999999,289,0.0,2,62707.74269005847
284,10385.813461538464,290,0.0,2,63165.18128654973
285,31550.011538461542,291,0.3,2,191883.11111111112
286,39495.33461538462,292,2.05,2,240205.54385964916
287,18488.338461538464,293,0.625,2,112443.69590643277
288,25522.400000000005,294,0.275,2,155223.9532163743
289,2300.005769230769,295,1.725,2,13988.33918128655
290,1299.7903846153845,296,1.275,2,7905.157894736841
291,2148.2076923076916,297,6.75,2,13065.122807017538
292,12025.457692307693,298,0.9,2,73137.2865497076
293,34006.053846153845,300,1.825,2,206820.44444444444
294,19960.28076923077,301,1.825,2,121395.85964912281
295,4086.0596153846163,302,2.425,2,24850.888888888894
296,3851.6615384615384,303,0.275,2,23425.309941520467
297,3070.001923076924,304,0.6,2,18671.356725146205
298,70387.49615384618,305,0.0,1,430605.85882352956
299,6427.132692307692,306,2.975,2,39088.994152046784
300,23193.088461538464,307,2.35,2,141057.38011695907
301,23262.96730769231,308,0.25,2,141482.37426900587
302,18371.963461538464,309,0.0,2,111735.91812865499
303,5026.142307692308,310,0.45,2,30568.35087719299
304,11242.673076923076,311,1.075,2,68376.49122807017
305,23135.350000000002,312,0.7,2,140706.22222222225
306,15549.98846153846,313,1.35,2,94573.02923976607
307,44879.58461538461,314,1.125,2,272951.85964912275
308,49831.049999999996,315,0.125,1,304848.7764705882
309,21912.157692307697,316,4.3,2,133266.9239766082
310,209423.6596153846,317,0.0,0,1296432.1785714284
311,35225.91538461538,318,0.225,2,214239.4853801169
312,3311.6057692307686,319,0.0,2,20140.760233918125
313,3736.5269230769236,320,0.45,2,22725.076023391815
314,46115.15961538462,321,1.575,2,280466.4678362573
315,1360.405769230769,322,6.9,2,8273.812865497075
316,5469.780769230769,323,0.75,2,33266.50292397661
317,50616.7,324,0.65,2,307844.2573099415
318,37020.31153846153,325,0.425,2,225152.77192982452
319,10177.628846153846,326,0.225,2,61899.02923976608
320,14313.473076923081,327,5.65,2,87052.70175438598
321,11187.457692307686,328,2.175,2,68040.67836257306
322,4648.657692307692,329,9.775,2,28272.538011695902
323,43448.928846153845,330,0.0,1,265805.21176470583
324,62220.12692307691,331,0.0,1,380640.7764705881
325,3957.3019230769214,332,4.25,2,24067.80116959063
326,67449.58653846155,333,4.975,2,410219.7076023393
327,49312.24423076923,334,0.25,2,299910.7251461988
328,46896.934615384605,335,2.05,2,285221.1228070175
329,71917.84230769234,336,0.275,2,437395.06432748557
330,32755.551923076924,337,0.0,2,199215.05263157896
331,69522.61923076925,338,0.35,2,422827.62573099433
332,21064.274999999994,339,1.025,2,128110.21052631574
333,29644.061538461545,340,1.95,2,180291.36842105267
334,18166.799999999985,341,0.025,2,110488.1403508771
335,92211.5403846154,342,0.525,1,564117.6588235295
336,21353.596153846156,343,0.8,2,129869.82456140353
337,93209.3576923077,344,0.0,1,570221.9529411765
338,65038.09807692305,345,0.025,1,397880.12941176456
339,30446.34615384615,347,3.75,2,185170.76023391812
340,8196.03269230769,348,2.15,2,49847.216374268995
341,51644.557692307695,349,0.0,1,315943.17647058825
342,7832.8461538461515,350,0.325,2,47638.362573099395
343,23223.565384615387,351,4.5,2,141242.73684210528
344,171678.33461538464,352,0.325,0,1062770.642857143
345,17256.155769230772,353,1.175,2,104949.71929824563
346,50679.982692307705,354,0.0,1,310042.2470588236
347,65672.1461538462,355,1.55,2,399409.5438596494
348,5902.8173076923085,356,0.7,2,35900.175438596496
349,18000.405769230776,357,0.125,2,109476.15204678367
350,41202.007692307685,358,0.0,1,252059.3411764705
351,42266.88076923078,359,0.275,2,257061.73099415214
352,79529.7557692308,360,0.35,1,486534.9764705884
353,16527.369230769233,361,0.0,2,100517.33333333336
354,195615.82692307694,362,0.0,0,1210955.119047619
355,5052.657692307694,363,3.95,2,30729.61403508773
356,3324.069230769231,364,2.325,2,20216.561403508775
357,180682.3134615385,365,0.375,0,1118509.5595238097
358,66646.6423076923,366,1.425,2,405336.3040935672
359,3070.659615384615,367,2.175,2,18675.356725146197
360,32667.319230769226,368,5.75,2,198678.43274853798
361,24627.36538461539,369,7.1,2,149780.46783625736
362,12004.874999999998,370,0.325,2,73012.10526315788
363,2935.3057692307693,371,3.475,2,17852.152046783627
364,153646.97884615377,372,0.2,0,951147.9642857137
365,2592.7250000000004,373,0.0,2,15768.619883040938
366,71454.47692307693,374,1.875,2,434576.9356725147
367,62294.980769230766,375,5.85,2,378870.0584795322
368,68866.2096153846,376,0.975,2,418835.4269005847
369,27968.9173076923,377,0.0,2,170103.35672514615
370,51824.43076923077,378,2.2,2,315189.52046783624
371,19487.223076923074,379,0.675,2,118518.78362573097
372,55844.25576923076,380,4.5,2,339637.57894736837
373,50843.98653846154,381,3.6,2,309226.5847953216
374,54105.86346153849,382,6.975,2,329064.9005847955
375,15917.926923076919,383,0.0,2,96810.78362573097
376,18675.003846153846,384,1.375,2,113578.97076023392
377,4713.211538461538,385,8.125,2,28665.14619883041
378,70817.44615384616,386,0.0,1,433236.1411764706
379,10562.440384615385,387,1.25,2,64239.40350877193
380,114775.1076923077,388,0.525,1,702153.6000000001
381,41033.17115384615,389,0.4,2,249558.4678362573
382,2542.3980769230775,390,0.0,2,15462.53801169591
383,3513.8596153846165,391,2.45,2,21370.842105263167
384,21470.671153846153,392,0.0,2,130581.85964912281
385,3882.894230769232,393,3.45,2,23615.263157894744
386,14304.040384615382,394,4.325,2,86995.33333333333
387,76252.93076923075,395,0.0,1,466488.5176470587
388,4821.7711538461535,396,1.1,2,29325.3918128655
389,2572.180769230768,397,0.575,2,15643.672514619875
390,48276.54615384615,398,0.55,2,293611.7426900585
391,2753.671153846154,399,1.975,2,16747.47368421053
392,111962.20576923077,400,2.35,2,680939.730994152
393,2393.2480769230765,401,3.275,2,14555.426900584793
394,87031.1730769231,402,2.85,2,529312.3976608189
395,65.98846153846154,403,7.7,2,401.3333333333333
396,44724.18461538461,404,2.825,2,272006.7368421053
397,27658.64807692307,405,2.425,2,168216.33918128652
398,58031.18076923075,406,0.05,1,355014.28235294105
399,174263.10961538466,407,0.95,1,1066080.2000000004
400,40031.85192307692,408,2.95,2,243468.5730994152
401,11707.16538461539,409,0.0,2,71201.47368421056
402,14106.773076923078,410,3.1,2,85795.57894736843
403,12679.644230769232,411,2.275,2,77115.96491228072
404,97361.36923076925,412,1.35,1,595622.4941176472
405,36855.92499999999,413,1.55,2,224152.9941520467
406,36692.92500000001,414,4.3,2,223161.64912280705
407,4341.105769230769,415,0.85,2,26402.046783625727
408,17404.80961538462,416,2.25,2,105853.8128654971
409,5171.5192307692305,417,0.175,2,31452.51461988304
410,99878.09615384613,418,0.0,1,611018.9411764704
411,43866.89038461538,419,0.375,2,266792.78362573095
412,33631.81346153848,420,1.9,2,204544.3625730995
413,21229.05961538461,421,0.175,2,129112.4093567251
414,87738.07692307692,422,0.725,1,536750.5882352941
415,48121.89230769232,423,3.225,2,292671.1578947369
416,53306.009615384624,424,0.15,1,326107.3529411765
417,8664.686538461541,425,6.25,2,52697.508771929846
418,81430.86923076921,426,0.525,1,498165.31764705875
419,30825.82307692307,427,1.8,2,187478.6900584795
420,79565.78653846157,428,1.125,1,486755.4000000002
421,288.3057692307693,429,6.2,2,1753.4385964912285
